no_of_dependents,graduated,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_approved
2,True,False,6800000,21200000,16,439,17100000,4700000,23300000,3600000,False
5,False,True,1100000,3800000,18,387,1300000,1200000,3800000,1600000,False
1,False,True,8700000,28300000,8,402,20400000,13600000,27900000,10200000,False
4,True,True,2000000,8000000,6,837,5100000,2600000,3900000,2900000,True
2,False,False,9800000,37600000,10,641,24100000,0,23400000,7600000,True
4,True,False,5700000,21100000,18,489,500000,4300000,12500000,6000000,False
4,True,False,8800000,20700000,18,540,19200000,3200000,22400000,12700000,False
4,True,False,3800000,8900000,4,844,9100000,3500000,13100000,4700000,True
1,True,False,1700000,6400000,10,452,900000,1100000,5600000,2100000,False
2,True,False,1000000,2000000,10,366,1200000,400000,3200000,1300000,False
5,True,False,300000,1100000,2,300,100000,500000,700000,400000,True
2,True,True,6600000,15000000,18,470,1200000,4800000,18200000,7000000,False
2,False,False,8700000,25000000,20,861,14700000,8500000,23200000,7300000,True
4,True,False,9400000,29400000,12,562,25900000,15200000,36400000,7100000,True
0,True,False,4400000,10800000,14,463,2400000,4800000,13800000,4700000,False
4,False,False,400000,900000,12,478,700000,100000,1200000,100000,False
2,False,True,300000,1100000,2,702,300000,200000,500000,200000,True
2,False,True,4300000,12900000,20,618,11400000,3600000,11400000,2400000,True
4,True,False,1600000,4500000,12,633,700000,1700000,4100000,1900000,True
5,False,True,6200000,23600000,10,331,18500000,10300000,23800000,8700000,False
3,False,True,4200000,9700000,16,841,7800000,300000,16700000,5100000,True
4,False,True,9000000,18100000,12,764,600000,16500000,20800000,11600000,True
0,True,False,2700000,10600000,6,591,1300000,2700000,9900000,1800000,True
1,True,True,9700000,35900000,2,719,19600000,7600000,20400000,10900000,True
2,True,False,3300000,6800000,14,317,3400000,300000,11700000,3600000,False
0,False,False,300000,1100000,8,778,800000,200000,900000,100000,True
3,True,True,7400000,18200000,14,302,5600000,3100000,17900000,5000000,False
5,False,False,7100000,19700000,8,502,7300000,5600000,25300000,9800000,False
5,False,True,7300000,22100000,18,879,19500000,10600000,19300000,9800000,True
1,False,False,8400000,23400000,14,437,15400000,5800000,33400000,8100000,False
0,False,True,3300000,10800000,12,797,600000,6000000,7700000,3300000,True
4,False,True,5800000,23200000,18,456,16100000,4200000,22600000,7500000,False
0,False,False,600000,1600000,6,647,1500000,600000,1500000,700000,True
0,False,False,7200000,15800000,12,379,12700000,12200000,21500000,3600000,False
1,False,True,9100000,32900000,2,717,2200000,2000000,23600000,5900000,True
5,True,False,900000,2300000,16,545,100000,200000,2700000,800000,False
2,True,False,800000,3200000,8,317,300000,1000000,2000000,900000,False
1,False,False,8500000,32900000,10,570,5100000,6200000,20500000,5500000,True
0,False,True,9000000,18700000,18,865,26800000,0,20900000,11300000,True
3,True,False,7000000,19500000,14,719,12200000,10300000,18200000,10200000,True
3,True,False,200000,600000,16,821,400000,100000,500000,100000,True
4,False,True,400000,800000,10,859,900000,500000,800000,200000,True
3,False,False,5100000,18200000,10,395,100000,8000000,15500000,6300000,False
2,False,True,700000,2600000,12,429,1600000,1300000,2700000,800000,False
3,True,False,400000,1200000,12,861,200000,600000,1100000,200000,True
0,False,True,9500000,20800000,14,565,15100000,11900000,33900000,13400000,True
5,True,False,8800000,22600000,10,357,7900000,8600000,18200000,4900000,False
3,False,True,1800000,3600000,18,465,600000,500000,5400000,2600000,False
4,False,True,6800000,13900000,8,479,11700000,9100000,25700000,9600000,False
3,False,False,1500000,5500000,16,717,2100000,800000,4400000,1300000,True
3,True,False,1600000,5500000,12,425,600000,800000,5400000,900000,False
2,False,False,4600000,16700000,2,786,200000,5900000,13900000,6100000,True
5,False,True,2200000,6700000,6,382,4400000,1300000,8600000,1100000,False
3,False,True,2900000,8500000,12,564,1000000,3100000,7500000,1800000,True
0,True,False,200000,700000,8,501,500000,200000,700000,100000,False
2,False,True,2500000,9400000,10,727,6600000,4100000,9500000,3300000,True
4,False,False,3600000,7500000,6,894,1100000,6500000,7400000,2800000,True
0,True,True,5500000,16700000,18,829,5500000,1300000,12800000,5900000,True
4,False,False,6600000,17400000,20,506,2600000,10000000,25900000,7200000,False
2,True,True,8600000,32100000,6,802,9400000,16700000,24500000,9800000,True
5,False,False,600000,1500000,14,543,300000,900000,2100000,300000,False
3,True,True,1400000,3200000,20,772,2400000,900000,5100000,1600000,True
3,True,False,4000000,11100000,12,572,9700000,100000,12500000,2400000,True
0,False,True,4900000,11900000,16,709,14600000,900000,18500000,3800000,True
5,True,False,2000000,6200000,18,402,4000000,2100000,7200000,1100000,False
1,False,True,5200000,19300000,8,481,14300000,9500000,18800000,4200000,False
5,True,True,8900000,28800000,6,772,13600000,5500000,20400000,8400000,True
1,True,True,6500000,20600000,2,306,15900000,1900000,18100000,3200000,True
2,False,False,1300000,4500000,6,415,0,900000,2900000,1200000,False
3,False,False,9400000,35000000,16,548,18200000,4400000,36100000,4800000,False
5,False,False,5000000,11200000,8,701,9100000,500000,14000000,4600000,True
2,True,False,3000000,7700000,12,890,4700000,4300000,8400000,2100000,True
5,False,True,9900000,33300000,6,364,5300000,18700000,27800000,8300000,False
5,True,True,700000,1300000,20,704,1600000,0,2200000,600000,True
3,True,True,4000000,10600000,10,318,1500000,5100000,8000000,4900000,False
5,False,False,3100000,9600000,2,761,5800000,1800000,10400000,4200000,True
4,False,False,4500000,15100000,6,693,3700000,1500000,17800000,6000000,True
3,False,False,9700000,20600000,16,524,24200000,11100000,27400000,6100000,False
2,False,True,2000000,5300000,10,681,4900000,1400000,4300000,2900000,True
2,True,True,8100000,22300000,18,737,22300000,12600000,27000000,7300000,True
0,False,False,5700000,15900000,16,638,100000,9500000,16300000,4500000,True
4,False,False,5800000,12800000,2,656,500000,5000000,16000000,2800000,True
1,True,False,1800000,6500000,6,540,2500000,3200000,5000000,1100000,False
4,False,True,9100000,35200000,6,341,1000000,300000,23100000,8200000,False
0,False,True,4800000,17500000,2,371,11700000,6800000,18700000,3500000,True
3,False,True,3800000,10500000,12,886,4000000,500000,14900000,2300000,True
0,False,False,1900000,4100000,18,801,400000,800000,4800000,1200000,True
3,False,True,3600000,9500000,16,748,7700000,2400000,9700000,2600000,True
2,False,True,7400000,28200000,8,376,21900000,5000000,17400000,5200000,False
4,False,True,6600000,14300000,8,371,10800000,9500000,18500000,7400000,False
2,True,False,1800000,5300000,6,826,4500000,700000,6500000,1300000,True
4,False,False,9200000,27200000,12,873,4500000,1800000,33800000,11400000,True
5,False,True,2400000,8600000,8,309,500000,600000,5700000,2800000,False
4,False,False,5600000,13300000,20,869,3300000,7500000,20000000,6500000,True
5,True,False,3800000,13900000,12,534,4700000,2900000,8200000,2800000,False
3,False,True,4500000,17900000,6,787,9800000,3600000,14300000,4200000,True
0,True,True,900000,2200000,16,566,100000,700000,2000000,600000,True
0,False,False,2800000,9900000,8,742,4900000,1300000,6700000,1700000,True
2,False,False,7500000,23100000,4,824,12100000,10900000,26300000,9500000,True
4,True,False,1400000,3100000,14,575,3000000,2100000,4900000,1400000,True
2,True,True,3800000,10900000,10,766,1900000,3900000,8600000,3000000,True
1,False,True,1700000,5000000,10,888,2900000,900000,4100000,2200000,True
3,True,True,9000000,30400000,6,638,16800000,11000000,26900000,9200000,True
5,False,True,7300000,23300000,6,622,7100000,11600000,26400000,10500000,True
1,False,False,7400000,19800000,18,458,12600000,6200000,27700000,4000000,False
1,False,False,9000000,28200000,16,327,1700000,2300000,24000000,11200000,False
0,False,False,3000000,6500000,2,612,8800000,3400000,6700000,1700000,True
1,True,False,800000,2900000,8,682,2200000,1100000,2900000,700000,True
2,True,False,4800000,13200000,2,583,13700000,5800000,9500000,5200000,True
5,False,False,6400000,18300000,8,697,10000000,3600000,22500000,3600000,True
3,True,False,9200000,27100000,12,306,5800000,11500000,28000000,9600000,False
4,False,True,400000,1500000,2,669,-100000,600000,900000,500000,True
2,False,False,2800000,6000000,18,816,6300000,4200000,8000000,3400000,True
4,False,True,8500000,28900000,20,455,15200000,5800000,22500000,9400000,False
3,True,True,4700000,16400000,10,318,11400000,8100000,16200000,4300000,False
4,False,True,9800000,21200000,20,355,22000000,8900000,31800000,14400000,False
2,False,True,3800000,8900000,16,389,200000,5600000,12200000,2200000,False
2,True,False,500000,1500000,2,888,1500000,300000,1500000,600000,True
2,True,True,6900000,15600000,6,352,13000000,5300000,22600000,10000000,False
4,False,True,9600000,30100000,12,870,300000,6700000,38200000,5600000,True
3,False,False,2900000,6500000,18,827,8300000,600000,10400000,3200000,True
2,True,False,9800000,20900000,12,768,3400000,10200000,38600000,13400000,True
0,True,False,7100000,15400000,18,707,10300000,10800000,19600000,5800000,True
1,False,True,7700000,19100000,10,355,11300000,4900000,21900000,6600000,False
3,True,False,1400000,3300000,2,652,100000,2100000,3500000,1900000,True
3,True,False,7800000,15900000,2,665,14400000,900000,27200000,5400000,True
5,False,True,1700000,6000000,18,420,500000,1600000,3700000,2300000,False
2,False,False,8500000,32700000,18,471,12600000,9400000,33900000,12500000,False
5,False,False,1900000,7500000,20,715,5100000,2800000,6500000,2800000,True
2,False,True,6700000,15200000,10,689,0,8200000,15000000,6800000,True
3,True,True,6900000,16400000,4,787,11100000,6100000,26400000,3800000,True
2,True,False,2600000,7800000,4,819,3100000,4300000,5700000,1500000,True
4,True,True,9600000,21100000,6,809,16100000,9500000,34700000,8700000,True
1,False,True,6800000,17000000,2,744,15500000,3900000,23700000,3500000,True
0,False,False,3200000,11300000,6,484,3500000,5500000,8500000,2100000,False
4,False,False,2900000,10400000,6,673,5100000,1700000,10600000,1700000,True
3,True,True,7900000,21200000,18,695,13800000,10600000,21800000,4900000,True
4,False,True,3900000,12400000,12,473,6400000,4700000,13100000,3800000,False
4,True,True,4600000,11000000,2,491,9000000,4000000,16100000,3500000,False
3,False,True,700000,1700000,8,733,1200000,800000,2400000,500000,True
0,False,False,5200000,15600000,20,434,14100000,5800000,18100000,5500000,False
3,False,True,5900000,20600000,10,777,1900000,4600000,21200000,6400000,True
4,True,False,7200000,19100000,4,774,9400000,7000000,17900000,3600000,True
1,False,True,8700000,27000000,10,717,25500000,8600000,17500000,9100000,True
3,False,True,1100000,3500000,12,503,3000000,400000,2200000,1200000,False
1,True,True,4000000,10900000,14,598,3600000,6600000,13600000,4400000,True
2,True,False,9800000,32400000,2,543,24200000,17500000,25700000,7700000,True
0,False,True,2700000,6800000,20,796,700000,4200000,7000000,1900000,True
3,False,True,8800000,34600000,8,386,14800000,16500000,18400000,6000000,False
5,False,True,3300000,7800000,16,632,8500000,500000,7100000,4900000,True
1,True,True,6900000,23400000,4,481,18700000,1100000,23400000,10200000,True
3,True,True,900000,3500000,4,770,700000,0,2000000,600000,False
3,True,True,4100000,15500000,6,667,2800000,1600000,14700000,4000000,True
3,False,True,4700000,17500000,8,585,1200000,3100000,9600000,4900000,True
5,True,True,3400000,11600000,16,479,9200000,5700000,11200000,2400000,False
2,True,False,9600000,22500000,18,851,7400000,16200000,24300000,12700000,True
3,False,True,7000000,16200000,6,378,20000000,12600000,20300000,5500000,False
5,True,False,5700000,12900000,18,807,4100000,900000,18600000,5500000,True
1,False,True,8200000,32400000,18,831,22800000,12300000,17700000,7800000,True
2,False,False,2100000,5100000,12,674,2200000,3200000,6400000,2400000,True
1,False,True,8000000,28100000,18,725,1900000,12800000,23000000,7500000,True
2,False,False,8000000,29300000,4,600,16500000,13200000,29400000,6500000,True
0,False,True,9400000,27000000,10,536,4400000,1700000,33800000,4800000,False
0,True,False,8400000,20600000,10,477,1500000,1500000,25000000,11900000,False
1,False,True,1900000,5000000,6,560,1000000,1900000,6300000,1400000,True
0,False,True,4200000,16400000,20,539,9500000,2100000,11400000,3100000,False
5,True,False,2600000,9100000,8,852,3700000,700000,10300000,3300000,True
3,False,False,3700000,8500000,20,853,8300000,5700000,7500000,4900000,True
0,True,False,8800000,30900000,12,729,1700000,700000,25700000,11400000,True
2,False,False,2100000,4700000,2,546,6000000,3200000,5700000,1500000,False
3,True,True,900000,2400000,10,489,800000,0,2800000,500000,False
3,True,True,9800000,35400000,6,869,14400000,16400000,22800000,10300000,True
2,False,False,8000000,20000000,2,502,4100000,2200000,31600000,9900000,False
0,True,False,9800000,38800000,8,652,23200000,19000000,29700000,5400000,True
0,False,True,300000,1100000,8,789,400000,100000,800000,400000,True
4,False,False,2700000,8100000,4,325,5000000,800000,9900000,3400000,True
3,True,True,7400000,19600000,2,716,4100000,8900000,29100000,4200000,True
3,True,False,9200000,34300000,18,523,25600000,4000000,29100000,8800000,False
5,False,False,9500000,22200000,20,352,24500000,0,30800000,7000000,False
5,True,True,3800000,14400000,2,345,3300000,800000,13000000,4700000,True
0,True,False,8300000,19400000,18,649,2500000,16100000,24300000,11300000,True
2,True,True,2800000,7400000,18,666,100000,2300000,6300000,3400000,True
0,True,False,8600000,20900000,10,813,11300000,11900000,26000000,4800000,True
0,False,False,5400000,16800000,10,599,5300000,7400000,14500000,7600000,True
5,True,True,4200000,9400000,6,678,4700000,5500000,9900000,5700000,True
5,False,False,5200000,12200000,20,513,13400000,2000000,16800000,5400000,False
5,True,False,9400000,27900000,4,870,1100000,200000,29500000,10400000,True
3,True,False,8800000,20400000,8,483,3200000,11400000,28200000,11800000,False
1,True,True,5900000,16700000,16,308,5800000,8800000,19100000,5300000,False
3,True,True,1700000,4900000,16,591,4700000,1000000,4300000,1400000,True
1,False,False,7000000,23000000,10,886,14000000,3700000,26700000,3600000,True
4,False,False,1700000,4000000,6,829,0,1600000,5200000,1700000,True
0,False,False,1500000,4900000,12,651,1600000,2800000,4600000,800000,True
4,False,False,2000000,4700000,18,733,3700000,3700000,7000000,2800000,True
5,True,True,3900000,15500000,12,433,9500000,5400000,7900000,4600000,False
1,True,True,900000,3600000,14,713,1300000,1000000,1800000,1200000,True
1,True,False,6900000,22500000,18,403,800000,8400000,16900000,6300000,False
0,True,True,2800000,7800000,10,405,7800000,2500000,7100000,3400000,False
3,True,True,6800000,19900000,10,516,16000000,6000000,26000000,8500000,False
4,False,True,600000,1800000,8,417,1700000,700000,1800000,800000,False
1,False,False,4700000,14000000,6,468,11300000,1800000,10600000,4600000,False
5,True,True,3000000,11800000,10,672,8700000,3600000,9800000,4100000,True
5,False,False,4000000,13900000,6,530,6000000,5600000,12500000,6000000,False
1,False,True,3100000,11300000,14,824,3700000,6000000,11000000,4400000,True
1,False,True,7700000,25500000,12,549,18100000,10600000,20500000,7000000,False
5,False,True,4300000,9300000,10,450,2100000,6700000,10000000,4100000,False
1,True,True,5800000,19500000,20,431,13800000,5000000,15600000,3300000,False
3,True,True,3600000,10700000,16,312,2300000,1600000,13100000,5200000,False
0,False,True,2900000,7600000,8,320,8000000,5600000,9600000,3100000,False
0,True,False,8800000,20200000,4,433,16000000,4200000,30500000,12400000,False
1,False,True,300000,1000000,10,431,400000,500000,900000,100000,False
5,False,True,8600000,28900000,8,516,9900000,1800000,30200000,6800000,False
2,False,True,3500000,12000000,14,476,1100000,6800000,12400000,2900000,False
5,True,False,800000,2600000,6,560,100000,200000,3000000,1000000,True
2,True,False,8000000,27100000,12,674,14400000,400000,25300000,6400000,True
0,False,True,9900000,38200000,6,573,17200000,10000000,20100000,5900000,True
2,False,False,3300000,6600000,6,331,6300000,2000000,8900000,2700000,False
4,True,True,2000000,6700000,12,633,100000,800000,4800000,2000000,True
3,False,False,4900000,12900000,18,877,1800000,7000000,17900000,3300000,True
5,False,True,9200000,23600000,12,656,1400000,11200000,36400000,4900000,True
0,False,False,7500000,18200000,6,782,7400000,12000000,19800000,4100000,True
5,False,False,9000000,29300000,4,531,10400000,9500000,35500000,5800000,True
3,False,False,1400000,4100000,8,455,3000000,1400000,2900000,2100000,False
3,True,False,9600000,19900000,14,452,4200000,16200000,28500000,6600000,False
2,True,False,8400000,33200000,14,474,19600000,15000000,25400000,11500000,False
3,False,False,6400000,24400000,4,483,7800000,2400000,19100000,4500000,True
4,True,False,5900000,16800000,8,481,6900000,11400000,19500000,3300000,False
2,True,True,2200000,5100000,20,859,3800000,1200000,6400000,3100000,True
4,True,True,5600000,14100000,14,696,9000000,9200000,16500000,6800000,True
4,False,False,9800000,28700000,6,778,16600000,7400000,29700000,11100000,True
4,True,False,4400000,14600000,4,499,1300000,6500000,16100000,5700000,True
2,False,True,2400000,4900000,4,888,6400000,4300000,5100000,3400000,True
1,True,False,4400000,10800000,12,674,9600000,2700000,17200000,5300000,True
4,True,False,3700000,13200000,4,802,9800000,2400000,12500000,4300000,True
4,False,True,2300000,7800000,8,540,1500000,3400000,4700000,2800000,False
4,True,True,5900000,19600000,8,726,17400000,6800000,20100000,8000000,True
4,False,True,6400000,23500000,2,485,7300000,2700000,23600000,3900000,True
4,True,True,4900000,17100000,6,612,1300000,7000000,19500000,5000000,True
3,False,True,9500000,24200000,8,879,3100000,17200000,26400000,12700000,True
2,False,False,5700000,16400000,12,708,3700000,800000,15000000,4400000,True
2,False,True,2700000,5700000,8,850,3500000,5000000,10500000,3900000,True
2,False,True,3900000,11300000,12,516,3100000,0,10400000,4600000,False
0,False,False,7800000,28800000,12,465,4700000,7500000,28800000,7400000,False
0,True,False,1100000,3200000,20,716,1800000,1400000,3600000,1500000,True
4,False,False,200000,600000,10,404,0,100000,400000,0,False
0,False,True,4700000,10600000,20,512,8400000,4000000,12300000,7000000,False
3,False,True,8200000,20600000,10,441,16100000,11400000,29100000,6100000,False
2,False,True,4600000,18400000,2,555,7700000,2400000,14200000,4200000,True
5,False,False,1800000,7000000,18,466,2600000,2100000,6000000,1900000,False
3,True,True,3200000,8600000,2,427,3900000,1800000,7100000,4700000,False
4,False,True,5500000,20000000,14,593,15100000,2700000,19900000,4900000,True
3,True,False,7900000,18300000,10,731,4200000,3400000,22200000,8400000,True
1,True,True,4000000,10100000,16,451,7000000,3900000,14300000,3900000,False
3,False,True,6800000,16900000,18,628,3600000,900000,15600000,4900000,True
1,False,False,2700000,9400000,18,704,5300000,2300000,6400000,2400000,True
2,False,False,6800000,23500000,12,341,19300000,11800000,14300000,8500000,False
5,True,False,8600000,21000000,8,465,11700000,14900000,19500000,9900000,False
4,True,False,8000000,30100000,4,431,11900000,13800000,18800000,11500000,True
1,True,True,3700000,12600000,10,424,5400000,1100000,14200000,4400000,False
0,True,False,2600000,5100000,14,678,500000,1200000,6000000,3100000,True
4,True,False,4200000,16800000,6,381,9600000,3800000,14800000,5900000,False
5,True,True,8000000,28000000,10,449,18500000,1500000,17400000,3900000,False
1,False,False,7100000,23500000,12,768,6400000,12100000,22400000,7300000,True
0,False,False,2000000,7000000,6,666,0,1200000,4300000,1400000,False
4,False,True,5800000,13300000,14,742,16100000,9300000,16300000,7000000,True
3,False,True,6700000,15800000,4,445,10500000,7600000,14100000,9100000,False
2,True,False,7300000,28700000,14,634,5900000,3800000,21200000,10800000,True
4,False,False,3300000,9700000,14,782,2500000,0,10400000,2200000,True
0,True,False,3000000,7000000,10,781,7200000,600000,11700000,2700000,True
4,False,False,7900000,17200000,14,318,14200000,9500000,23200000,9000000,False
5,False,False,7600000,24100000,18,721,21900000,11500000,22900000,7200000,True
5,False,False,3700000,9800000,4,563,9500000,5100000,11200000,3000000,True
2,False,False,8400000,26300000,4,419,22900000,7900000,29200000,6200000,True
0,True,True,8200000,20800000,14,372,3800000,100000,26100000,5200000,False
0,False,False,2900000,9500000,18,885,4300000,2300000,6500000,3500000,True
1,False,True,9900000,38400000,12,596,10000000,9300000,36500000,6800000,True
0,True,False,4400000,14100000,2,349,3300000,1300000,8800000,6200000,True
1,False,True,9000000,32200000,16,468,4500000,16400000,28600000,10900000,False
3,False,True,6800000,26900000,16,818,14700000,10400000,26300000,7300000,True
2,False,False,8700000,28000000,12,543,16900000,6000000,22900000,6700000,False
3,True,False,9400000,21900000,16,685,8100000,5600000,34500000,5000000,True
3,False,True,6000000,12500000,18,851,14600000,5000000,16800000,5000000,True
1,False,True,9400000,29800000,10,377,24100000,18500000,30900000,11700000,False
0,False,True,1000000,4000000,10,620,2400000,1300000,3700000,1100000,True
3,True,True,900000,2300000,20,611,600000,1500000,1900000,500000,True
4,False,False,2100000,7700000,4,767,1200000,1700000,6900000,1300000,True
5,True,True,1100000,3200000,20,592,3200000,700000,3500000,500000,True
0,True,True,600000,2300000,4,319,1600000,800000,2300000,700000,True
4,False,True,9200000,25500000,10,900,9400000,10500000,27400000,12800000,True
2,False,True,3600000,12800000,18,814,8600000,4100000,10300000,4100000,True
5,False,True,1300000,5000000,10,755,2100000,2200000,4800000,1900000,True
5,True,True,7700000,16800000,20,584,8600000,4800000,23400000,8000000,True
4,True,True,9500000,23500000,14,380,22900000,6700000,25100000,7300000,False
2,False,True,5000000,17600000,20,465,6200000,5200000,16500000,5200000,False
0,False,False,500000,1800000,2,531,1300000,500000,1900000,700000,True
1,True,True,8300000,32100000,16,814,18500000,2700000,28900000,7500000,True
0,True,False,5300000,17900000,6,678,4700000,3900000,14400000,3600000,True
2,False,True,9300000,29000000,12,655,7900000,6800000,29900000,4900000,True
3,False,False,2300000,7400000,2,682,6500000,2400000,7600000,2100000,True
1,False,False,400000,1300000,6,695,200000,500000,800000,100000,True
3,False,False,3200000,10800000,4,833,2600000,1000000,8700000,2600000,True
5,False,True,9400000,35300000,16,302,4100000,12500000,37000000,12900000,False
1,True,False,2300000,6600000,2,357,5900000,200000,6000000,2200000,False
5,False,False,4300000,14500000,12,302,12500000,4300000,12500000,5100000,False
0,True,True,6200000,22400000,18,873,15700000,6600000,15800000,8200000,True
0,False,True,7200000,19800000,12,658,12700000,8100000,25000000,7300000,True
